Player,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02,2000-01,1999-00,1998-99,1997-98,1996-97
Norman Powell,15517242.0,11451784.0,10730854.0,10099769.0,1632008.0,985964.0,740043.0,,,,,,,,,,,,,,,,,,,
Dejounte Murray,15428880.0,15056222.0,2462710.0,1665775.0,1455904.0,1330286.0,,,,,,,,,,,,,,,,,,,,
Malik Beasley,14491964.0,14149745.0,2897582.0,1912564.0,1886293.0,1834453.0,,,,,,,,,,,,,,,,,,,,
Patrick Beverley,14320987.0,14052193.0,13095309.0,5420170.0,6115407.0,6763710.0,7385044.0,1043319.0,917900.0,352933.0,,590353.0,,,,,,,,,,,,,,
Thaddeus Young,14190000.0,14275272.0,13683287.0,14840473.0,14331932.0,13616084.0,12792447.0,10442814.0,10006619.0,9518121.0,9001398.0,3616431.0,2652050.0,2443755.0,2387302.0,,,,,,,,,,,
Jonas Valanciunas,14000000.0,15808717.0,16971519.0,17832797.0,17148470.0,16212640.0,5306088.0,4193098.0,4103225.0,3995486.0,,,,,,,,,,,,,,,,
Marcus Smart,13839285.0,13644428.0,13315823.0,12033548.0,5033420.0,4034418.0,3906334.0,3742777.0,,,,,,,,,,,,,,,,,,
Doug McDermott,13750000.0,7728706.0,7778612.0,7906843.0,3654698.0,2799093.0,2710197.0,2596730.0,,,,,,,,,,,,,,,,,,
Christian Wood,13666667.0,13717618.0,1745263.0,1630895.0,,985964.0,386828.0,,,,,,,,,,,,,,,,,,,
Derrick Rose,13445120.0,8097147.0,7761366.0,2346456.0,2810060.0,24037384.0,22876512.0,21502489.0,20516696.0,19420134.0,8418153.0,6913355.0,6530589.0,5988325.0,,,,,,,,,,,,
Luke Kennard,13347727.0,5558161.0,4059545.0,3531425.0,3060502.0,,,,,,,,,,,,,,,,,,,,,
Taurean Prince,13334375.0,12910452.0,3693411.0,2724453.0,2687023.0,2613362.0,,,,,,,,,,,,,,,,,,,,
Brook Lopez,13302325.0,13382263.0,12827312.0,3646491.0,25114147.0,23859750.0,22416474.0,17918669.0,17097356.0,16182557.0,3703688.0,3008232.0,2803812.0,2605718.0,,,,,,,,,,,,
Kentavious Caldwell-Pope,13038862.0,12723931.0,8633499.0,12938469.0,19683159.0,4146514.0,3292349.0,3160452.0,3087018.0,,,,,,,,,,,,,,,,,
Joe Ingles,13036364.0,10922387.0,12150065.0,13526582.0,15125004.0,2367298.0,2390908.0,578331.0,,,,,,,,,,,,,,,,,,
Kyle Kuzma,13000000.0,3754231.0,2094497.0,1821995.0,1578965.0,,,,,,,,,,,,,,,,,,,,,
Robert Covington,12975471.0,12792777.0,11987428.0,11282444.0,18520984.0,1144978.0,1138527.0,1139936.0,570354.0,,,,,,,,,,,,,,,,,
TJ Warren,12940000.0,12646974.0,11731563.0,12668918.0,3497125.0,2399899.0,2323826.0,2226433.0,,,,,,,,,,,,,,,,,,
