Player,2021/22,2021/22(*),2020/21,2020/21(*),2019/20,2019/20(*),2018/19,2018/19(*),2017/18,2017/18(*),2016/17,2016/17(*),2015/16,2015/16(*),2014/15,2014/15(*),2013/14,2013/14(*),2012/13,2012/13(*),2011/12,2011/12(*),2010/11,2010/11(*),2009/10,2009/10(*),2008/09,2008/09(*),2007/08,2007/08(*),2006/07,2006/07(*),2005/06,2005/06(*),2004/05,2004/05(*),2003/04,2003/04(*),2002/03,2002/03(*),2001/02,2001/02(*),2000/01,2000/01(*),1999/00,1999/00(*),1998/99,1998/99(*),1997/98,1997/98(*),1996/97,1996/97(*)
Tariq Owens,,,,,"$79,568","$84,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marial Shayok,,,,,"$79,568","$84,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vic Law,,,,,"$79,568","$84,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Hervey,,,,,"$79,568","$84,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Wooten,,,,,"$79,568","$84,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Mason,,,,,"$79,568","$84,399","$1,378,242","$1,486,028","$1,184,385","$1,313,680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Alexander,,,,,"$79,568","$84,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnathan Motley,,,,,"$79,568","$84,399","$77,250","$83,291","$77,250","$85,683",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naz Long,,,,,"$79,568","$84,399","$77,250","$83,291","$167,158","$185,406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Howard,,,,,"$79,568","$84,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Frazier,,,,,"$79,568","$84,399","$47,370","$51,074",,,,,"$525,093","$597,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonius Cleveland,,,,,"$79,568","$84,399",,,"$384,116","$426,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Reaves,,,,,"$79,568","$84,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobi Simmons,,,,,"$79,568","$84,399","$76,236","$82,198","$77,250","$85,683",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
